Interval start timestamp: 2020-11-13T00:00:00.000Z
Interval end timestamp: 2020-11-20T00:00:00.000Z
Interval total rewards: 3934656000000000000000000 KEEP
Interval start block: 11245937
Interval end block: 11291625

Rewards weight sum 125507558529059133936391
Total rewards sum 3854303531886365633282922
┌─────────┬──────────────────────────────────────────────┬──────────────┬──────────────────────────┬───────────────────────┬────────────────────────────┬─────────────────────┬─────────────────────────────────┬─────────────┬─────────────────┬───────────┬────────────────┬────────────────────┬──────────────┬─────────────┬──────────────┬───────────┬─────────────┬──────────────┬───────────┬───────────┬────────┬──────────────┬──────────────┐
│ (index) │                   operator                   │ isFraudulent │ factoryAuthorizedAtStart │ poolAuthorizedAtStart │ poolDeauthorizedInInterval │ minimumStakeAtStart │ poolRequirementFulfilledAtStart │ keygenCount │ keygenFailCount │ keygenSLA │ signatureCount │ signatureFailCount │ signatureSLA │ SLAViolated │  keepStaked  │ ethBonded │ ethUnbonded │ ethWithdrawn │ ethTotal  │ ethScore  │ boost  │ rewardWeight │ totalRewards │
├─────────┼──────────────────────────────────────────────┼──────────────┼──────────────────────────┼───────────────────────┼────────────────────────────┼─────────────────────┼─────────────────────────────────┼─────────────┼─────────────────┼───────────┼────────────────┼────────────────────┼──────────────┼─────────────┼──────────────┼───────────┼─────────────┼──────────────┼───────────┼───────────┼────────┼──────────────┼──────────────┤
│    0    │ '0xb038a8B2975cD5dE392683f5CD4989d3b1E75648' │    false     │           true           │         true          │           false            │        true         │              true               │      6      │        1        │    83     │       3        │         0          │     100      │    false    │ '101000.00'  │ '2076.62' │   '8.46'    │   '865.00'   │ '1220.08' │ '1220.08' │ '1.41' │  '1716.52'   │  '53812.88'  │
│    1    │ '0x3D1c06ffF8a8e2BA890a5633022BaF78aFcB4d06' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│    2    │ '0xF1De9490Bf7298b5F350cE74332Ad7cf8d5cB181' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       2        │         0          │     100      │    false    │ '1340800.00' │ '449.50'  │   '0.02'    │    '0.00'    │ '449.52'  │ '449.52'  │ '3.44' │  '1547.44'   │  '48512.29'  │
│    3    │ '0x6dAfE16b14c95eB99c64e8d4E5435F7574B2825c' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '332533.00'  │ '347.81'  │   '25.99'   │    '0.00'    │ '373.80'  │ '373.80'  │ '2.33' │   '872.40'   │  '27349.69'  │
│    4    │ '0xd1F2A77a0dAD76Ef8B87002763134f4863C870A4' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │ '201.84'  │   '43.16'   │    '0.00'    │ '245.00'  │ '245.00'  │ '1.90' │   '466.36'   │  '14620.33'  │
│    5    │ '0x186E82df0a09534537d0D8680D03b548628ab288' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │ '225.66'  │   '19.34'   │    '0.00'    │ '245.00'  │ '245.00'  │ '1.90' │   '465.47'   │  '14592.51'  │
│    6    │ '0x91af3Fd2ebd3A39310A69E60197566538171514e' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       1        │         0          │     100      │    false    │ '100000.00'  │ '210.19'  │   '34.57'   │    '0.00'    │ '244.77'  │ '244.77'  │ '1.90' │   '466.02'   │  '14609.73'  │
│    7    │ '0x9d0Cc9194EfD1F9Bf02a7AFC57Ae9769c1207Aa4' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │ '221.91'  │   '16.10'   │    '0.00'    │ '238.01'  │ '238.01'  │ '1.91' │   '455.31'   │  '14274.07'  │
│    8    │ '0x88Ed51f84c21Ae246c23137D090cdF441009D916' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │ '156.94'  │   '60.49'   │    '0.00'    │ '217.43'  │ '217.43'  │ '1.96' │   '425.13'   │  '13327.72'  │
│    9    │ '0x855A951162B1B93D70724484d5bdc9D00B56236B' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        1        │    80     │       2        │         0          │     100      │    false    │ '1074904.00' │ '528.30'  │  '113.78'   │    '0.00'    │ '642.08'  │ '642.08'  │ '2.83' │  '1816.96'   │  '56961.74'  │
│   10    │ '0x4c21541f95a00C03C75F38C71DC220bd27cbbEd9' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '0.35'   │   '66.65'   │    '0.00'    │  '67.00'  │  '67.00'  │ '2.43' │   '162.71'   │  '5101.09'   │
│   11    │ '0x39d2aCBCD80d80080541C6eed7e9feBb8127B2Ab' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       3        │         0          │     100      │    false    │ '298400.00'  │ '268.66'  │   '13.12'   │    '0.00'    │ '281.78'  │ '281.78'  │ '2.46' │   '691.86'   │  '21689.84'  │
│   12    │ '0x174592063ed3B10065a2a00b4ee8bF87FF3AAc21' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '188400.00'  │ '171.11'  │   '28.89'   │    '0.00'    │ '200.00'  │ '200.00'  │ '2.37' │   '474.52'   │  '14876.11'  │
│   13    │ '0xc74D5EDAf50C15f5C64683D9CC6644121a4923f9' │    false     │          false           │         false         │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   14    │ '0x85D548b251cEb537f62AED0b6f6f4C48d3C822c8' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        0        │    100    │       4        │         0          │     100      │    false    │ '798011.00'  │ '103.06'  │   '65.82'   │    '0.00'    │ '168.87'  │ '168.87'  │ '4.07' │   '688.03'   │  '21569.82'  │
│   15    │ '0x5CA1F949c75833432d6BC8E3cb6FB23386F63426' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       12       │         0          │     100      │    false    │ '499200.00'  │ '2445.32' │   '31.09'   │  '1668.00'   │ '808.41'  │ '808.41'  │ '2.11' │  '1706.81'   │  '53508.51'  │
│   16    │ '0xe76c773C18d0D305A488B16CF6Ef14273B57665d' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '101000.00'  │  '0.00'   │   '22.33'   │   '22.33'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   17    │ '0x404EE198baB25b71b64776dFB96531e059456b3e' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '150000.00'  │ '267.89'  │   '60.06'   │    '0.00'    │ '327.95'  │ '327.95'  │ '1.96' │   '641.61'   │  '20114.54'  │
│   18    │ '0x0CF6F3D138236fbc7B831a976942bF8D3907C550' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '150000.00'  │  '0.18'   │   '72.32'   │    '0.00'    │  '72.50'  │  '72.50'  │ '3.03' │   '219.98'   │  '6896.33'   │
│   19    │ '0x692a84140091e1FF6D5B8c138fB184aFFBeE8Ae8' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '278221.00'  │ '189.75'  │   '10.10'   │    '0.00'    │ '199.85'  │ '199.85'  │ '2.67' │   '533.32'   │  '16719.70'  │
│   20    │ '0x8Bd660A764Ca14155F3411a4526a028b6316CB3E' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '832533.00'  │  '17.93'  │   '51.72'   │    '0.00'    │  '69.65'  │  '69.65'  │ '5.89' │   '410.20'   │  '12859.87'  │
│   21    │ '0xa620a7ea64202FEF1d60466b8d496dB656454728' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '498400.00'  │  '1.00'   │   '2.43'    │    '0.00'    │  '3.44'   │  '3.44'   │ '8.12' │   '27.90'    │   '874.71'   │
│   22    │ '0x00Cef852246b08B9215772c3f409D28408Bb21bD' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       2        │         0          │     100      │    false    │ '705718.00'  │ '172.26'  │   '60.65'   │    '0.00'    │ '232.91'  │ '232.91'  │ '3.46' │   '806.27'   │  '25276.59'  │
│   23    │ '0x70164FF765Be63011E783866e334293A6fe92DcB' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '101000.00'  │  '0.45'   │   '54.65'   │    '0.00'    │  '55.11'  │  '55.11'  │ '2.44' │   '134.62'   │  '4220.30'   │
│   24    │ '0xd66cAE89FfBc6E50e6b019e45c1aEc93Dec54781' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '100000.00'  │  '86.30'  │   '13.10'   │    '0.00'    │  '99.40'  │  '99.40'  │ '2.42' │   '240.40'   │  '7536.46'   │
│   25    │ '0xA79827813Da962f5A4C95AF40550259EE868d202' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │ '202.43'  │   '46.87'   │    '0.00'    │ '249.30'  │ '249.30'  │ '1.90' │   '472.60'   │  '14815.90'  │
│   26    │ '0x581B54952b65cb619389BB4D90F5acF04e3D697a' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │ '172.36'  │   '42.14'   │    '0.00'    │ '214.50'  │ '214.50'  │ '1.97' │   '421.62'   │  '13217.75'  │
│   27    │ '0x9AF71bc32f2Ca72C68ba26584cA4dBf5e349FAb9' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '87.53'  │   '78.38'   │    '0.00'    │ '165.90'  │ '165.90'  │ '2.10' │   '348.05'   │  '10911.50'  │
│   28    │ '0x2eBE08379f4fD866E871A9b9E1d5C695154C6A9F' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       1        │         0          │     100      │    false    │ '596800.00'  │ '259.30'  │   '69.83'   │    '0.00'    │ '329.13'  │ '329.13'  │ '2.90' │   '955.91'   │  '29967.71'  │
│   29    │ '0xA97c34278162b556A527CFc01B53eb4DDeDFD223' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '0.33'   │   '11.78'   │    '0.00'    │  '12.11'  │  '12.11'  │ '2.29' │   '27.67'    │   '867.60'   │
│   30    │ '0x6C76d49322C9f8761A1623CEd89A31490cdB649d' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '22.16'  │   '3.84'    │    '0.00'    │  '26.00'  │  '26.00'  │ '2.29' │   '59.43'    │  '1863.08'   │
│   31    │ '0x003428E767ece053974bdC155BC129cae491EBe2' │    false     │           true           │         true          │           false            │        true         │              true               │     11      │        0        │    100    │       2        │         0          │     100      │    false    │ '543464.00'  │ '1113.93' │   '84.98'   │   '20.59'    │ '1178.31' │ '1178.31' │ '1.96' │  '2310.01'   │  '72418.83'  │
│   32    │ '0x4a41c7a884d119eaaefE471D0B3a638226408382' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       2        │         0          │     100      │    false    │ '973795.00'  │ '294.66'  │   '23.46'   │    '0.00'    │ '318.12'  │ '318.12'  │ '3.47' │  '1105.25'   │  '34649.38'  │
│   33    │ '0xD072bB639cA5933f5CA6DC4deebD259066547087' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │  '0.00'   │   '33.01'   │    '0.00'    │  '33.01'  │  '33.01'  │ '2.42' │   '79.79'    │  '2501.42'   │
│   34    │ '0x0ee446643973b3F5FeD132D0455fEa23fbad0D1E' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       2        │         0          │     100      │    false    │ '3324533.00' │  '72.09'  │   '13.66'   │    '0.00'    │  '85.75'  │  '85.75'  │ '9.81' │   '840.84'   │  '26360.36'  │
│   35    │ '0x1b3aCBbE36316ae74D4BeC49865660b59ff69c7b' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '115000.00'  │  '0.15'   │   '34.85'   │    '0.00'    │  '35.00'  │  '35.00'  │ '2.64' │   '92.50'    │  '2899.87'   │
│   36    │ '0x5Df67a14Bf26981543A2Ea33C2EE454CFA42aDA5' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '80.83'  │   '19.17'   │    '0.00'    │ '100.00'  │ '100.00'  │ '2.41' │   '241.42'   │  '7568.55'   │
│   37    │ '0x2acE976116c36a524B6bEa125B6fdFB897490941' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '110050.00'  │  '0.18'   │   '68.68'   │   '100.00'   │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   38    │ '0xB7a764884a2fBcfC7177b5c53A7797EE7fF4Bb39' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        0        │    100    │       5        │         0          │     100      │    false    │ '160000.00'  │ '1941.56' │  '100.61'   │    '1.00'    │ '2041.16' │ '2041.16' │ '1.40' │  '2849.36'   │  '89327.16'  │
│   39    │ '0xaaFab076DA8d1C885F492bad4e2C259F0b6448F8' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   40    │ '0x0000000000058fDe63cA64995c9A7E40196Af9F9' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '0.18'   │   '19.82'   │    '0.00'    │  '20.00'  │  '20.00'  │ '2.43' │   '48.57'    │  '1522.71'   │
│   41    │ '0xABFB52f4CfAC3e6631c19a7e4Aa752110E1187B5' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '445297.00'  │ '177.45'  │   '7.20'    │    '0.00'    │ '184.65'  │ '184.65'  │ '3.20' │   '590.18'   │  '18502.04'  │
│   42    │ '0xa62E990E0229A3247270d6206adf3d883dbED919' │    false     │           true           │         true          │           false            │        true         │              true               │      7      │        0        │    100    │       5        │         0          │     100      │    false    │ '415866.67'  │ '3833.08' │   '6.21'    │  '1290.00'   │ '2549.29' │ '2549.29' │ '1.57' │  '4005.42'   │ '125569.76'  │
│   43    │ '0x9c06Feb7Ebc8065ee11Cd5E8EEdaAFb2909A7087' │    false     │           true           │         true          │           false            │        true         │              true               │      8      │        0        │    100    │       4        │         0          │     100      │    false    │ '3424796.00' │ '616.67'  │   '34.20'   │    '0.00'    │ '650.87'  │ '650.87'  │ '4.24' │  '2762.31'   │  '86598.25'  │
│   44    │ '0x2495512e37f9B2A8fd9B071eA477e282D51508c6' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   45    │ '0xAA7B9D0Fe0867B227C9fC33B6022E9fD6e848EE1' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   46    │ '0x8DDD2077415D58f7047fc9143b4146b342055f1b' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   47    │ '0x36C56A69c2aeA23879b59dB0e99D57eF2ff77f06' │    false     │           true           │         true          │           false            │        true         │              true               │     21      │        0        │    100    │       13       │         0          │     100      │    false    │ '200000.00'  │ '6617.93' │   '47.00'   │    '0.00'    │ '6664.93' │ '5943.11' │ '1.24' │  '7399.06'   │ '231960.04'  │
│   48    │ '0xD52BfE62a163eB4eC8FC98f06eD3f02695ae491d' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │ '264.48'  │   '15.33'   │    '0.00'    │ '279.81'  │ '279.81'  │ '1.84' │   '515.43'   │  '16158.65'  │
